Company,First name,Last Name,Title,Street,Suburb,State,Postcode,Phone,Fax,Mobile,Email,Website
Lift Truck Services,Larry,PERRY,,91 Midland Hwy,Epsom,VIC,3551,03 5448 8802,,0412 621 212,Larry-d7d27@bendigotraders.org,www.megt.com.au
OPSM Bendigo,Samuel,ALLEGRETTA,Optometrist & Contact Lense Specialist,Bendigo Market Place,Bendigo ,VIC,3550,03 5443 4662,5441 6209,,Samuel-fa917@bendigotraders.org,www.idealloans.com.au
SCT Logistics,Kaye,RODNEY,,220 Westlink Court,Altona,VIC,3018,03 9931 5333,9369 9747,0437 129 078,Kaye-efc0a@bendigotraders.org,
Bendigo Community Telco,William,KURJATA,Sales Manager,Po Box 1062,Bendigo ,VIC,3552,03 5454 5010,5454 1510,0428 366 005,William-5d2f8@bendigotraders.org,www.domainliving.com.au
CVGT ,Claire,BARCLAY,Business Development Manager,4 Mundy Street,Bendigo,VIC,3550,03 5441 5177,5443 8549,0418 126 529,Claire-45565@bendigotraders.org,www.bendigobank.com.au
Wet Technologies,Anna,BLACK,Business Development Manager,109 Karinie Street,Swan Hill,VIC,3585,03 5033 1566,5033 1213,0400 146 512,Anna-7c2c7@bendigotraders.org,
The Green Olive,Tom,MAINLAND,,217 Bath Lane,Bendigo ,VIC,3550,03 5442 2676,5442 2676,,Tom-7a292@bendigotraders.org,www.artlivemedia.com
Universita Bar & Risotrante,Susie,BROOKS,,76 Lygon Street ,Carlton,VIC,3053,03 9347 2142,9347 0705,0418 186 104,Susie-05018@bendigotraders.org,www.greatershepparton.com.au
Rebecca Productions,June,ANDERSON,Exectuitve Producer,Po Box 409,Ashburton,VIC,3147,03 9889 9799,,0418 726 506,June-bdd0a@bendigotraders.org,www.delfinrealty.com.au
Radiation Oncology Victoria,Charles,BURDON,Chief Exectutive Officer,Head Office: 132 Grey Street,East Melbourne,VIC,3002,03 9418 2200,9418 2288,0417 887 791,Charles-86a3c@bendigotraders.org,www.commbank.com.au
Doug Lougoon For Real Estate,Kathryn,CHANT,Estate Agent & Auctioneer,118 Wills Street,Bendigo ,VIC,3550,03 5445 5488,5445 5499,0418 510 025,Kathryn-9cae4@bendigotraders.org,www.bendigobank.com.au
Southern Cross Office Equipment,Audrey,BATTY,,85 Mitchell Street,Bendigo,VIC,3550,03 5441 6333,5442 6026,,Audrey-9dfac@bendigotraders.org,
Australian Receivables Limited,Diane,PETTERSON,Business Development Executive,Shop 4 Woodbury Court McIvor Road,Bendigo,VIC,3550,03 5441 3033,5480 1660,0488 311 983,Diane-1f974@bendigotraders.org,
Commonwealth Bank,Stacey,BANFIELD,Relationship Manager,202 King Street,Bendigo ,VIC,3550,03 5440 2663,5440 2659,,Stacey-6b3a9@bendigotraders.org,www.victoriafinance.com.au
PH Property,Jeffery,BLACKMAN,Director,136 Mitchell Street,Bendigo ,VIC,3550,03 5454 1999,5454 1998,0412 519 998,Jeffery-68815@bendigotraders.org,www.bsi.com.au
Win Television,Beatrice,PETTY,Station Manager,Cnr High & Lilly Streets,Bendigo ,VIC,3550,03 5441 8035,5441 8015,0401 673 530,Beatrice-8f7e3@bendigotraders.org,
Loddon Mallee Pallitive Care,Jennifer,FALLON,Administration Officer,,,,,03 5454 9208,5454 6496,,Jennifer-dcc7e@bendigotraders.org,www.homebuildingsystem.com.au
Tin Shed Arts,Alec,SADLIER,Director,85 Mollison Street ,Malmsbury,VIC,3446,03 5423 2144,,,Alec-64455@bendigotraders.org,www.hudsonscoffee.com.au
TADVIC,Benjamin,WRAY,Chief Exectutive Officer,52 Yarra Boulevard,Kew,VIC,3101,03 9853 8655,9853 8098,,Benjamin-5bac5@bendigotraders.org,
Impress Publicity,Jeff,SPAIN,,79 Nixon Street,Shepparton ,VIC,3630,03 5821 2651,5821 6174,0427 212 651,Jeff-fb531@bendigotraders.org,
Simonds Homes,Tammy,BINNS,Regional Manager,Po Box 5022,Sandhurst East,VIC,3550,03 5445 1506,5442 9800,0400 794 212,Tammy-e2e4e@bendigotraders.org,www.bendigotelco.com.au
Reale Creative,Emma,BLACK,,Po Box 7235,Shepparton ,VIC,3632,,,,Emma-4cc98@bendigotraders.org,www.commbank.com.au
Fresh 2 U ,Sam,HOLMES,,Market Box 12 542 Footscray Rd,West Melbourne,VIC,3003,03 9687 9322,9689 6116,0416 275 634,Sam-e265e@bendigotraders.org,www.ljhooker.com
I Do  I Do Creations,Vicki,FARRELL,"Events, Advertising, Marketing Director ",Po Box 2573,Bendigo ,VIC,3554,03 5444 2797,,0439 205 406,Vicki-ace87@bendigotraders.org,
QDT,Lisa,McKEEVER,,211 Spring Gully Road,Bendigo,VIC,3550,03 5443 9605,03 5441 6902,0408 053 990,Lisa-6d6a9@bendigotraders.org,http://www.thrive-imagine.com
Rebecca Productions,Colin,BOWDEN,Exectuitve Producer,Po Box 409,Ashburton,VIC,3147,03 9889 9799,,0418 726 506,Colin-67292@bendigotraders.org,
DRP Architechts (Well Springs Day Spa),Mary,BROWN,Senior Interior Designer,No1 York Place ,Prahran,VIC,3181,03 9521 3414,9521 3644,0414 503 344,Mary-37d27@bendigotraders.org,www.happylanding.com.au
Hildebrand Australia,Cathi,DOSCAS,Managing Director,,,,,,,0412 462 865,Cathi-fb7ef@bendigotraders.org,
GTS Interactive,Vicki,ALLAN,,Po Box 6298,St.Kilda Road Central,VIC,8008,,,0419 232 565,Vicki-d7761@bendigotraders.org,
Vivadas,Kathy,CARDINAL,Account Director,115 High Street,Prahran,VIC,3181,03 9529 3533,9529 7823,0417 033 118,Kathy-5e6a5@bendigotraders.org,www.icnvic.org.au
Wet Technologies,Steven,GRUNBERG,Business Development Manager,148 Karinie Street,Swan Hill,VIC,3585,03 5033 1566,5033 1213,0400 146 512,Steven-c0efe@bendigotraders.org,www.cornstalksoftware.com.au
Hildebrand Australia,Garth,ADAMS,Managing Director,,,,,,,0412 462 865,Garth-be72f@bendigotraders.org,
National Confectionery Wholesalers,Nigel,P,Sales & Marketing Co-Ordinator,Suite 43/255 Drummond Street,Carlton,VIC,3053,03 9349 9800,9349 9899,0418 220 957,Nigel-5bb4b@bendigotraders.org,
Clive Peters,Millicent,HAWKINS,Sales Representative,43 High Street,Kangaroo Flat,VIC,3555,03 5447 5200,5447 5255,,Millicent-33019@bendigotraders.org,www.bendig.vic.gov.au
Remington Direct,Stephen,FELLOWS,Managing Director,226 Mair Street ,Ballarat,VIC,3350,03 5332 9077,5332 1933,0408 147 950,Stephen-1e1fb@bendigotraders.org,www.epicureandeli.com.au
Evans Shoes,Ruth,CECIL,Manager,157-33 Williamson Street,Bendigo ,VIC,3550,03 5443 8128,5441 3573,,Ruth-85c4c@bendigotraders.org,
Bicknells Independent Sport,Gillian,BROOKS,,64 Williamson Street,Bendigo ,VIC,3550,03 5443 4299,5442 2845,,Gillian-0f132@bendigotraders.org,www.gtsinteractive.com
The Bridge,Rhys,BROOKS,Owner,151 Bridge Street,Bendigo ,VIC,3550,03 5443 7811,5442 7714,0438 232 467,Rhys-718b8@bendigotraders.org,
REIV,Ena,McLELLAN,Estate Agent,61 Camberwell Road,Camberwell ,VIC,3124,+61 3 9205 6626 ,+61 3 9205 6692,0419 165 989,Ena-ed31e@bendigotraders.org,
Impress Publicity,Saboth,ARNOLD,,154 Nixon Street,Shepparton ,VIC,3630,03 5821 2651,5821 6174,0408 579 199,Saboth-1057a@bendigotraders.org,www.qdt.com.au
OPSM Bendigo,Michael,DILLON,Optometrist & Contact Lense Specialist,Bendigo Market Place,Bendigo ,VIC,3550,03 5443 4662,5441 6209,,Michael-7e36b@bendigotraders.org,www.winnlegal.com.au
Tourism -Shepparton Council,Karll,McVEIGH,Manager ,Locked Bag 1000,Shepparton ,VIC,3632,03 5832 9849,5831 1987,0400 650 817,Karll-0f8d0@bendigotraders.org,www.grantready.com.au
Comfort Inn Julie-Anna,David,COPE,,127 Napier Street,Bendigo ,VIC,3550,03 5442 5855,5441 6032,,David-85ce0@bendigotraders.org,
MacroPlan Australia,Jack,GOODENOUGH,Associate Director,Level 4 356 Collins Street,Melbourne,VIC,3000,03 9600 0500,,0402 325 290,Jack-83bf5@bendigotraders.org,
Telstra Country Wide,Kathleen,BLACK,Business Solutions Manager,,,,,1800 630 052,8601 3198,,Kathleen-c23d2@bendigotraders.org,www.birchrove.net.au
Dunkeld Pastoral,Jill,EDWARDS,Operations Manager,Po Box 50 ,Dunkeld,VIC,3294,03 5577 2644,5577 2622,,Jill-65c3b@bendigotraders.org,www.confuciusinstitute.unimelb.edu.au
TKO Business Modeller,Jennie,BROWN,TKO Developer / Founder,100 Mitchell Street,Bendigo,VIC,3550,1300 131 822,5441 1201,0419 337 287,Jennie-ad7f1@bendigotraders.org,www.cvgt.com.au
Commonwealth Bank,Barbara,RENDELL,Customer Service Speacialist,106 Hargreaves Mall,Bendigo,VIC,3550,03 5440 2100,5440 2142,,Barbara-3fe47@bendigotraders.org,
SITA Environmental Solutions,June,ALLAN,Branch Manager,67-19 Stonepark Road,Ballarat,VIC,3350,03 5336 2733,5336 2871,0412 553 229 ,June-85e37@bendigotraders.org,www.cebendigo.com.au
MacroPlan Australia,Kaye,ANDREWS,Associate Director,Level 4 356 Collins Street,Melbourne,VIC,3000,03 9600 0500,,0402 325 290,Kaye-15b7f@bendigotraders.org,
Reale Creative,Kevin,HARRISON,,Po Box 7235,Shepparton ,VIC,3632,,,,Kevin-f2b90@bendigotraders.org,www.cvgt.com.au
Floate Design Partners,Sheila,ANDREWS,,Level 1 351-353 Elizabeth Street,Melbourne,VIC,3000,03 9606 0866,9670 8216,0418 592 158,Sheila-a1c52@bendigotraders.org,www.remingtondirect.com.au
Your Emplyment Solutions,Emily,BOYS,Site Manager,106B Mollison Street,Bendigo,VIC,3550,03 5441 5611,5441 5894,,Emily-8b742@bendigotraders.org,
Bendigo Community Telco,Rosalind,MOULTON,Sales Manager,Po Box 1062,Bendigo ,VIC,3552,03 5454 5010,5454 1510,0428 366 005,Rosalind-be0c8@bendigotraders.org,www.growdata.com.au
Commonwealth Bank,Mandy,HYMUS,Relationship Manager,55 King Street,Bendigo ,VIC,3550,03 5440 2663,5440 2659,,Mandy-f68f1@bendigotraders.org,www.ncw.com.au
The Green Olive,Alexander,SHINNER,,52 Bath Lane,Bendigo ,VIC,3550,03 5442 2676,5442 2676,,Alexander-26874@bendigotraders.org,
Bicknells Independent Sport,Joanna,BLACK,,184 Williamson Street,Bendigo ,VIC,3550,03 5443 4299,5442 2845,,Joanna-f798a@bendigotraders.org,
Hickory Developments,Tim,WEBB,Development Manager,184 Cremorne Street,Richmonmd,VIC,3121,03 9429 7411,9428 7376,0412 800 091,Tim-4f966@bendigotraders.org,
Integrating Technology,Ben,MUIR,Senior Systems Engineer,4 Wills Street,Bendigo ,VIC,3550,03 5442 5322,5442 5317,0419 311 433,Ben-4bf5d@bendigotraders.org,
Clive Peters,Duncan,LEISALD,Sales Representative,166 High Street,Kangaroo Flat,VIC,3555,03 5447 5200,5447 5255,,Duncan-871a7@bendigotraders.org,www.bendigocinemas.com.au
VEA,Marie,BLACK,It Manager,73A Mitchell Street,Bendigo ,VIC,3550,03 5448 2424 ,5441 8992,,Marie-08cc8@bendigotraders.org,
Bendigo Bank,Janice,AH SING,Business Banking Officer,121 Hargreaves Street,Bendigo,VIC,3550,03 5433 9090,5433 9588,0413 124 629,Janice-78e10@bendigotraders.org,
Calder Regional Waste Management ,Sheila,TORY,Executive Officer,Po Box 303 ,Woodend,VIC,3442,03 5427 3479,,0438 771 757,Sheila-606c6@bendigotraders.org,
Maloahouse Gourmet Delights,Karen,BURGESS,Owner/Manager,ShopOne 97 High Street,Woodend,VIC,3442,03 5427 1608,5427 3226,,Karen-7113b@bendigotraders.org,www.clivepeters.com.au
Make Your House A Home,Peter,LOWRY,,,,,,03 5442 6093,,,Peter-7fb8a@bendigotraders.org,www.advancelandscapeandleisure.com.au
Delfin Realty - Edgewater,Colleen,HAYTON,Branch Manager,202-48 Edgewater Blvd,Maribyrnong,VIC,3032,03 8318 0203,9318 4685,0413 131 134,Colleen-d11ec@bendigotraders.org,www.ezysys.com.au
Direct Focus Consulting,Lilian,BLACKMAN,Director,GPO Box 5002Y ,Melbourne,VIC,3001,03 9639 4513,9639 7411,0418 136 840,Lilian-de414@bendigotraders.org,www.evansshoes.com.au
Evans Shoes,Jeanne,LIDDELL,Managing Director,46 Hare Street,Echuca,VIC,3564,03 5482 3499,5482 5605,,Jeanne-37bfa@bendigotraders.org,www.eplusarchitecture.com.au
Birchgrove Property Group,Fred,ATKINS,Director,Po Box 43,Strathdale,VIC,3550,1300 856 911,5442 6111,0419 318 360,Fred-7517c@bendigotraders.org,www.telstra.com/countrywide
Home Building System,Bill,WHITWORTH,National Business Development Manager,Po Box 6850 St.Kilda Road,Melbourne,VIC,8008,1300 733 730,1300 557 486,,Bill-a33fb@bendigotraders.org,www.yesonline.com.au
Win Television,Julia,WYNNE,Station Manager,Cnr High & Lilly Streets,Bendigo ,VIC,3550,03 5441 8035,5441 8015,0401 673 530,Julia-5d28f@bendigotraders.org,www.hildebrand.com.au
Industry Capability Network,James,SAMUELS,Regional Manager,94 Edwards Street,Bendigo ,VIC,3550,03 5441 8611,5442 5452,0407 182 952,James-53bd9@bendigotraders.org,www.stephenmalone.com.au
City of Greater Bendigo,Winnie,FANNON,Industry/Business Development Officer,22 Lyttleton Terrace,Bendigo ,VIC,3552,03 5434 6197,5434 6267,0419 162 003,Winnie-d616d@bendigotraders.org,
